Recency,Frequency,Monetary
234,2,1010
76,5,1540
23,4,1950
233,3,1230
284,2,560
35,4,430
38,3,2800
91,5,2720
93,3,1390
38,4,510
124,3,1210
39,2,540
33,8,6100
4,3,510
258,2,950
47,4,920
253,1,200
86,4,850
157,4,1800
85,2,240
3,3,580
48,3,1000
59,5,3510
206,4,580
67,5,1800
236,2,1600
149,4,2590
37,6,1410
59,2,270
17,4,1220
59,5,3510
93,3,1390
174,5,2040
11,5,1390
129,5,1180
15,3,250
7,3,540
94,3,310
119,2,650
61,3,320
96,4,460
16,5,1070
122,4,1250
49,2,400
271,3,1160
43,6,4620
27,2,140
22,5,2760
124,1,20
27,3,360
23,3,1030
162,2,520
167,3,1380
24,4,1210
5,3,730
6,2,320
26,2,850
211,1,200
10,4,3680
81,2,780
50,4,1510
91,2,1100
238,2,900
61,3,770
23,4,730
3,3,580
5,3,540
94,4,180
126,3,1840
17,7,1100
41,3,310
120,3,880
210,2,250
45,4,3800
27,3,360
9,3,1600
76,5,1540
43,6,4620
24,4,1210
142,6,520
184,4,750
55,4,530
160,3,640
4,3,1900
58,4,730
94,2,420
145,2,210
26,2,140
160,1,150
16,5,1070
59,2,270
296,2,580
88,1,500
184,1,100
50,5,4700
123,2,190
68,4,940
95,3,580
227,3,200
97,2,2750
28,5,900
45,4,3800
63,3,900
17,4,780
25,5,640
46,8,3340
98,2,550
158,4,4210
27,6,420
44,7,1770
86,1,50
7,2,830
80,1,100
316,2,2050
77,4,4100
18,4,370
118,3,430
37,4,4080
24,4,1750
10,7,1710
25,4,980
222,2,1000
131,2,560
58,2,650
6,8,4170
1,5,680
22,5,2760
57,2,1200
1,6,1610
142,3,2130
223,2,800
63,1,100
26,4,1520
97,4,870
1,4,1140
79,4,790
115,4,1140
117,4,380
21,2,500
23,4,1950
65,1,90
24,4,1210
86,4,850
7,5,3220
173,3,600
162,2,520
109,2,300
54,3,1200
98,2,550
85,2,590
16,4,3320
206,4,580
153,3,790
194,4,1150
4,3,470
36,5,450
98,5,1640
87,3,180
52,4,320
144,4,830
151,3,2140
190,4,2750
100,3,2080
273,2,1400
59,6,1130
42,5,3180
124,4,200
22,1,250
59,5,2110
27,6,5470
185,3,290
82,3,2130
297,1,80
167,3,540
103,4,2290
1,4,3720
16,4,3320
119,3,570
129,5,1180
74,2,700
36,2,300
204,1,100
3,3,890
126,3,4030
293,3,560
68,3,2860
33,8,6100
29,4,630
254,2,350
10,3,3540
41,3,800
3,4,390
30,2,1020
38,5,850
17,5,1500
6,3,170
1,5,1050
64,2,290
95,4,3220
29,4,310
115,4,1140
41,4,870
8,5,590
117,4,1050
95,3,1890
76,6,3510
