Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Month,Recency,Frequency,Monetary
1,2024-03-11,CUST185,Female,39,Sports,5,200,1000,2024-03,234,2,1010
2,2024-08-06,CUST095,Female,37,Beauty,1,20,20,2024-08,76,5,1540
3,2024-07-26,CUST077,Female,42,Sports,2,100,200,2024-07,23,4,1950
4,2024-02-07,CUST115,Male,40,Clothing,5,200,1000,2024-02,233,3,1230
5,2024-01-02,CUST508,Male,46,Electronics,2,30,60,2024-01,284,2,560
6,2024-11-26,CUST305,Female,36,Food,5,20,100,2024-11,35,4,430
7,2024-05-02,CUST293,Male,37,Electronics,5,500,2500,2024-05,38,3,2800
8,2024-03-15,CUST187,Female,21,Beauty,1,20,20,2024-03,91,5,2720
9,2024-09-29,CUST301,Male,23,Beauty,3,30,90,2024-09,93,3,1390
10,2024-05-02,CUST144,Female,46,Beauty,1,50,50,2024-05,38,4,510
11,2024-08-29,CUST338,Male,35,Electronics,2,30,60,2024-08,124,3,1210
12,2024-09-25,CUST031,Male,61,Sports,5,100,500,2024-09,39,2,540
13,2024-08-24,CUST601,Male,58,Electronics,4,500,2000,2024-08,33,8,6100
14,2024-05-29,CUST369,Female,53,Food,2,30,60,2024-05,4,3,510
15,2024-02-24,CUST769,Male,32,Clothing,4,200,800,2024-02,258,2,950
16,2024-05-22,CUST780,Female,30,Sports,3,200,600,2024-05,47,4,920
17,2024-04-22,CUST721,Female,30,Beauty,4,50,200,2024-04,253,1,200
18,2024-10-06,CUST096,Female,50,Food,5,10,50,2024-10,86,4,850
19,2024-02-07,CUST474,Female,22,Sports,4,50,200,2024-02,157,4,1800
20,2024-02-05,CUST249,Male,59,Electronics,3,30,90,2024-02,85,2,240
21,2024-04-26,CUST441,Female,29,Beauty,3,20,60,2024-04,3,3,580
22,2024-07-06,CUST770,Male,34,Electronics,4,100,400,2024-07,48,3,1000
23,2024-08-02,CUST565,Female,62,Clothing,5,100,500,2024-08,59,5,3510
24,2024-04-14,CUST361,Female,58,Food,1,30,30,2024-04,206,4,580
25,2024-10-25,CUST408,Male,35,Clothing,3,500,1500,2024-10,67,5,1800
26,2024-05-09,CUST254,Male,50,Sports,2,50,100,2024-05,236,2,1600
27,2024-07-24,CUST532,Female,57,Clothing,5,500,2500,2024-07,149,4,2590
28,2024-06-22,CUST202,Male,51,Beauty,2,50,100,2024-06,37,6,1410
29,2024-11-02,CUST422,Female,52,Beauty,4,30,120,2024-11,59,2,270
