Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,2024-03-11,CUST185,Female,39,Sports,5,200,1000
2,2024-08-06,CUST095,Female,37,Beauty,1,20,20
3,2024-07-26,CUST077,Female,42,Sports,2,100,200
4,2024-02-07,CUST115,Male,40,Clothing,5,200,1000
5,2024-01-02,CUST508,Male,46,Electronics,2,30,60
6,2024-11-26,CUST305,Female,36,Food,5,20,100
7,2024-05-02,CUST293,Male,37,Electronics,5,500,2500
8,2024-03-15,CUST187,Female,21,Beauty,1,20,20
9,2024-09-29,CUST301,Male,23,Beauty,3,30,90
10,2024-05-02,CUST144,Female,46,Beauty,1,50,50
11,2024-08-29,CUST338,Male,35,Electronics,2,30,60
12,2024-09-25,CUST031,Male,61,Sports,5,100,500
13,2024-08-24,CUST601,Male,58,Electronics,4,500,2000
14,2024-05-29,CUST369,Female,53,Food,2,30,60
15,2024-02-24,CUST769,Male,32,Clothing,4,200,800
16,2024-05-22,CUST780,Female,30,Sports,3,200,600
17,2024-04-22,CUST721,Female,30,Beauty,4,50,200
18,2024-10-06,CUST096,Female,50,Food,5,10,50
19,2024-02-07,CUST474,Female,22,Sports,4,50,200
20,2024-02-05,CUST249,Male,59,Electronics,3,30,90
21,2024-04-26,CUST441,Female,29,Beauty,3,20,60
22,2024-07-06,CUST770,Male,34,Electronics,4,100,400
23,2024-08-02,CUST565,Female,62,Clothing,5,100,500
24,2024-04-14,CUST361,Female,58,Food,1,30,30
25,2024-10-25,CUST408,Male,35,Clothing,3,500,1500
26,2024-05-09,CUST254,Male,50,Sports,2,50,100
27,2024-07-24,CUST532,Female,57,Clothing,5,500,2500
28,2024-06-22,CUST202,Male,51,Beauty,2,50,100
29,2024-11-02,CUST422,Female,52,Beauty,4,30,120
30,2024-12-14,CUST283,Female,20,Food,3,10,30
31,2024-11-02,CUST565,Female,47,Sports,3,100,300
32,2024-08-18,CUST301,Male,44,Clothing,3,100,300
33,2024-07-10,CUST034,Male,62,Beauty,5,30,150
34,2024-04-29,CUST395,Male,44,Food,3,30,90
35,2024-08-15,CUST459,Female,56,Sports,3,200,600
36,2024-02-22,CUST005,Male,39,Food,2,30,60
37,2024-01-05,CUST730,Female,43,Electronics,1,50,50
38,2024-06-19,CUST449,Female,21,Beauty,3,50,150
39,2024-09-03,CUST234,Female,37,Sports,2,200,400
40,2024-09-21,CUST356,Male,28,Food,2,30,60
41,2024-07-20,CUST295,Female,57,Electronics,5,30,150
42,2024-07-15,CUST624,Female,40,Beauty,1,30,30
43,2024-02-17,CUST518,Female,36,Electronics,3,100,300
44,2024-11-12,CUST134,Male,49,Beauty,3,50,150
45,2024-04-02,CUST511,Male,59,Clothing,2,500,1000
46,2024-11-18,CUST282,Male,49,Beauty,1,50,50
47,2024-12-04,CUST458,Male,47,Electronics,2,50,100
48,2024-12-09,CUST183,Male,55,Clothing,4,200,800
49,2024-08-29,CUST071,Female,51,Food,2,10,20
50,2024-12-04,CUST339,Female,31,Beauty,5,50,250
51,2024-12-08,CUST633,Female,25,Food,1,30,30
52,2024-06-05,CUST526,Male,42,Beauty,1,20,20
53,2024-04-17,CUST587,Female,48,Sports,5,200,1000
